concept,analytic_name,NHANES cycle,source component,source filename,raw variable,label,unit,valid range,missing codes,special codes,lower detection limit,fasting requirement,survey weight requirement,transformation,harmonization decision,evidence source,final status,notes
CVD component,cvd_angina,2013-2014,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2013-2014\MCQ_H.XPT,MCQ160D,self-reported angina,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_angina,2015-2016,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2015-2016\MCQ_I.XPT,MCQ160D,self-reported angina,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_angina,2017-2018,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2017-2018\MCQ_J.XPT,MCQ160D,self-reported angina,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_angina,2021-2023,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2021-2023\MCQ_L.XPT,MCQ160D,self-reported angina,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_heart_attack,2005-2006,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2005-2006\MCQ_D.XPT,MCQ160E,self-reported heart attack,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_heart_attack,2007-2008,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2007-2008\MCQ_E.XPT,MCQ160E,self-reported heart attack,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_heart_attack,2009-2010,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2009-2010\MCQ_F.XPT,MCQ160E,self-reported heart attack,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_heart_attack,2011-2012,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2011-2012\MCQ_G.XPT,MCQ160E,self-reported heart attack,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_heart_attack,2013-2014,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2013-2014\MCQ_H.XPT,MCQ160E,self-reported heart attack,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_heart_attack,2015-2016,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2015-2016\MCQ_I.XPT,MCQ160E,self-reported heart attack,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_heart_attack,2017-2018,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2017-2018\MCQ_J.XPT,MCQ160E,self-reported heart attack,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_heart_attack,2021-2023,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2021-2023\MCQ_L.XPT,MCQ160E,self-reported heart attack,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_stroke,2005-2006,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2005-2006\MCQ_D.XPT,MCQ160F,self-reported stroke,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_stroke,2007-2008,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2007-2008\MCQ_E.XPT,MCQ160F,self-reported stroke,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_stroke,2009-2010,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2009-2010\MCQ_F.XPT,MCQ160F,self-reported stroke,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_stroke,2011-2012,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2011-2012\MCQ_G.XPT,MCQ160F,self-reported stroke,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_stroke,2013-2014,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2013-2014\MCQ_H.XPT,MCQ160F,self-reported stroke,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_stroke,2015-2016,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2015-2016\MCQ_I.XPT,MCQ160F,self-reported stroke,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_stroke,2017-2018,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2017-2018\MCQ_J.XPT,MCQ160F,self-reported stroke,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
CVD component,cvd_stroke,2021-2023,MCQ,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2021-2023\MCQ_L.XPT,MCQ160F,self-reported stroke,category,0 to 1,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,No,WTMEC2YR or component-appropriate weight,none or direct recode,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,1=yes; 2=no; 7/9 missing
Triglycerides,triglycerides_harmonized,2005-2006,TRIGLY,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2005-2006\TRIGLY_D.XPT,LBXTR,triglycerides,mg/dL,19 to 1600,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,Yes,WTSAF2YR,2005-2018: LBXTR; 2021-2023: -12.19 + 0.9785*LBXTLG before TyG calculation,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,fasting subsample; WTSAF2YR
Triglycerides,triglycerides_harmonized,2007-2008,TRIGLY,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2007-2008\TRIGLY_E.XPT,LBXTR,triglycerides,mg/dL,12 to 2549,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,Yes,WTSAF2YR,2005-2018: LBXTR; 2021-2023: -12.19 + 0.9785*LBXTLG before TyG calculation,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,fasting subsample; WTSAF2YR
Triglycerides,triglycerides_harmonized,2009-2010,TRIGLY,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2009-2010\TRIGLY_F.XPT,LBXTR,triglycerides,mg/dL,18 to 2742,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,Yes,WTSAF2YR,2005-2018: LBXTR; 2021-2023: -12.19 + 0.9785*LBXTLG before TyG calculation,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,fasting subsample; WTSAF2YR
Triglycerides,triglycerides_harmonized,2011-2012,TRIGLY,D:\C_Drive_Migrated\Administrator\cvd_gbd_nhanes_ml\data\raw\nhanes\2011-2012\TRIGLY_G.XPT,LBXTR,triglycerides,mg/dL,18 to 1562,Questionnaire special codes 7/9/77/99 where applicable; laboratory missing is blank/NaN,URDUMALC/URDUCRLC indicate lower detection limit for urine analytes where available,See CDC ALB_CR documentation for urine analytes; otherwise TO BE CONFIRMED,Yes,WTSAF2YR,2005-2018: LBXTR; 2021-2023: -12.19 + 0.9785*LBXTLG before TyG calculation,LOCKED_STAGE2,Raw XPT audit plus CDC public codebook URL where applicable,usable for Stage 3 plan,fasting subsample; WTSAF2YR
